페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
5,[푸디버디] 숫자놀이 치킨너겟,맛있고 재미있는 숫자 공부,정가 없음,"9,000",할인율 없음,샛별배송,472,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000408445
5,[소중한식사] 인기 전 5종 (택1),취향따라 골라담는 전,정가 없음,"12,900",할인율 없음,샛별배송,309,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780078
5,[최현석의 쵸이닷] 새우 봉골레 파스타,이탈리안 레스토랑의 봉골레,"9,300","8,370",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5063758
5,[도산분식] 무침만두,윤기나는 바삭 달콤한 별미,정가 없음,"7,490",할인율 없음,샛별배송,75,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000780474
5,[올가] 슬림누룽지칩 2종 (곤약/흑임자현미) (택 1),얇게 구워 더욱 바삭한,정가 없음,"10,900",할인율 없음,샛별배송,83,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000850010
5,[최현석의 쵸이닷] 트러플 크림 뇨끼,부드럽고도 강렬한 풍미,"7,900","7,110",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5069136
5,[조이풀메이드] 추억의 쌀 떡강정 2종(조청/매콤소스 포함) (택1),풍성한 식감을 살린,정가 없음,"5,900",할인율 없음,샛별배송,105,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000666001
5,[프레시지] 소고기버섯잡채,손쉽게 즐기는 잎품 요리,정가 없음,"11,900",할인율 없음,샛별배송,144,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747465
5,[일상식탁] 송탄식 부대찌개,진하고 묵직한 국물 맛,정가 없음,"17,900",할인율 없음,샛별배송,437,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000765124
5,[일상식탁] 우삼겹 숙주볶음,짭쪼름한 감칠맛 가득,정가 없음,"11,900",할인율 없음,샛별배송,151,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000765122
5,[집반찬연구소] 양념 꼬막 비빔밥,통통한 꼬막살이 가득,정가 없음,"13,800",할인율 없음,샛별배송,422,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763353
5,[리틀 차이나] 삼선 짬뽕 2인분,아낌 없이 올린 해물,"15,800","12,900",18%,샛별배송,267,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763351
5,[오뚜기] 리얼 바삭한 모짜소떡 핫도그 400g(100gX4개입),"치즈와 떡, 소시지를 한 번에",정가 없음,"9,380",할인율 없음,샛별배송,179,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763448
5,[오뚜기] 리얼 바삭한 빅핫도그 480g(120gX4개입),훈연향 가득한 소시지가 쏙,정가 없음,"9,380",할인율 없음,샛별배송,55,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763347
5,[오뚜기] UNO 7인치 피자 2종 2개입 (택1),혼자서 즐기는 한 판,"8,980","7,980",11%,샛별배송,289,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763410
5,[오뚜기] 리얼 멕시칸 라이스 브리또 불고기,치즈와 불고기의 만남,"11,980","10,780",10%,샛별배송,180,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763342
5,[오뚜기] 돌판오븐 피자 4종 (택1),도우의 바삭함이 남다른,"6,980","5,980",14%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000763401
5,[풀무원] 점보주먹밥 600g 2종 (택1),큼직해서 더욱 든든한,정가 없음,"9,980",할인율 없음,샛별배송,212,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000759253
5,[투다리] 한우대창나베,끓일수록 고소한 매력,"17,200","15,480",10%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000752109
5,[99치킨] 닭강정 2종 (오리지널/마라),온 가족이 함께 즐기는,"9,900","7,920",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000750153
